ID,First_Name,Last_Name,Team,Position,Assists,bonus,Total points,xA,CS,Gc,Goals Scored,minutes,red_cards,starts,xG,xGi,xGc,code,PpG
1,Fábio,Ferreira Vieira,1,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,438098,0.0
2,Gabriel,Fernando de Jesus,1,4,2,6,42,0.52,2,5,3,600,0,6,3.05,3.57,5.82,205651,2.5
3,Gabriel,dos Santos Magalhães,1,2,2,9,117,1.21,10,22,3,2363,0,28,2.70,3.91,23.09,226597,4.2
4,Kai,Havertz,1,4,3,14,97,1.65,7,20,9,1872,0,21,9.53,11.18,19.32,219847,4.2
5,Karl,Hein,1,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,463748,0.0
6,Jurriën,Timber,1,2,3,9,114,1.30,11,21,1,2415,0,27,1.23,2.53,21.09,445122,3.8
7,Jorge Luiz,Frello Filho,1,3,0,0,20,0.59,2,7,0,701,0,9,0.06,0.65,6.05,85955,1.3
8,Jakub,Kiwior,1,2,0,2,43,0.29,3,15,1,1117,0,10,0.17,0.46,14.71,440854,2.5
9,Gabriel,Martinelli Silva,1,3,4,6,125,4.46,10,25,8,2284,0,25,7.13,11.59,26.22,444145,3.8
10,Reiss,Nelson,1,3,1,2,27,0.96,1,9,1,483,0,5,1.07,2.03,6.13,200641,2.2
11,Eddie,Nketiah,8,4,2,4,53,0.83,2,17,3,1018,1,9,5.94,6.77,14.29,205533,1.8
12,Ethan,Nwaneri,1,3,2,4,66,1.78,4,4,4,882,0,11,1.19,2.97,5.38,499175,2.5
13,Martin,Ødegaard,1,3,9,11,116,6.68,11,21,3,2321,0,26,4.85,11.53,22.16,184029,3.9
14,Aaron,Ramsdale,17,1,0,11,97,0.04,3,66,0,2700,0,30,0.00,0.04,66.34,225321,3.2
15,David,Raya Martín,1,1,0,10,142,0.03,13,34,0,3420,0,38,0.00,0.03,35.03,154561,3.7
16,Declan,Rice,1,3,7,17,127,5.64,11,29,4,2823,1,33,3.51,9.14,27.13,204480,3.6
17,Bukayo,Saka,1,3,11,18,127,7.78,7,21,6,1724,0,20,6.87,14.65,17.72,223340,5.1
18,William,Saliba,1,2,0,14,130,1.28,12,29,2,3039,1,35,2.42,3.70,30.32,462424,3.7
19,Emile,Smith Rowe,10,3,3,15,114,2.04,7,28,6,2036,0,25,4.45,6.49,25.35,209289,3.4
20,Thomas,Partey,1,3,3,8,108,2.64,9,30,4,2793,0,31,2.27,4.91,30.83,167199,3.1
21,Kieran,Tierney,1,2,0,2,27,0.54,1,1,1,250,0,2,0.38,0.92,2.69,192895,2.1
22,Tomiyasu,Takehiro,1,2,0,0,1,0.00,0,0,0,6,0,0,0.18,0.18,0.04,223723,1.0
23,Leandro,Trossard,1,3,8,18,152,4.12,11,27,8,2546,1,28,6.74,10.86,24.76,116216,4.0
24,Benjamin,White,1,2,2,0,50,1.30,5,13,0,1195,0,13,0.46,1.76,16.88,198869,2.9
25,Oleksandr,Zinchenko,1,2,1,2,40,0.52,4,1,0,518,0,5,0.65,1.17,3.21,206325,2.7
26,Álex,Moreno Lopera,2,2,1,1,34,1.10,3,16,0,952,0,11,0.17,1.27,13.94,106468,2.3
27,Cameron,Archer,17,4,0,4,57,0.72,2,34,2,1421,0,13,5.71,6.43,37.31,433979,1.6
28,Leon,Bailey,2,3,2,2,47,2.92,2,19,1,1132,0,14,1.73,4.65,13.91,215711,2.0
29,Ross,Barkley,2,3,1,5,44,0.43,1,10,3,567,0,3,1.79,2.22,6.32,88894,2.2
30,Enzo,Barrenechea,2,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,491287,0.0
31,Emiliano,Buendía Stati,2,3,0,0,11,0.03,0,2,0,89,0,0,0.65,0.68,2.27,195546,0.9
32,Matty,Cash,2,2,1,2,76,1.23,7,22,1,2069,0,24,0.48,1.71,28.64,199796,2.8
33,Leander,Dendoncker,2,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,151589,0.0
34,Moussa,Diaby,2,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,243557,0.0
35,Diego Carlos,Santos Silva,2,2,0,1,21,0.08,2,15,0,828,0,8,0.64,0.72,11.88,165659,2.1
36,Lucas,Digne,2,2,5,7,89,3.97,6,36,0,2348,0,28,0.80,4.77,34.94,101188,2.8
37,Lewis,Dobbin,2,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,461421,0.0
38,Jhon,Durán,2,4,0,9,53,0.24,2,14,7,622,1,4,5.11,5.35,9.94,476344,2.6
39,Joe,Gauci,2,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,462492,0.0
40,Kortney,Hause,2,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,123354,0.0
41,Samuel,Iling-Junior,2,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,469247,0.0
42,Boubacar,Kamara,2,3,0,3,57,0.83,6,22,1,1720,0,20,0.82,1.65,23.03,226944,2.2
43,Kaine,Kesler-Hayden,2,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,465390,0.0
44,Ezri,Konsa Ngoyo,2,2,0,10,103,0.61,8,45,2,2936,0,33,1.29,1.90,43.82,199798,3.0
45,Ian,Maatsen,2,2,2,0,57,2.43,3,16,1,1125,0,10,0.87,3.30,17.31,441302,2.0
46,Filip,Marschall,2,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,462381,0.0
47,Emiliano,Martínez Romero,2,1,0,6,111,0.02,8,47,0,3195,1,37,0.00,0.02,44.99,98980,3.0
48,John,McGinn,2,3,4,1,78,2.70,8,34,1,2217,0,27,3.10,5.80,35.03,122806,2.3
49,Tyrone,Mings,2,2,1,5,47,0.23,4,11,0,1119,0,12,0.88,1.11,13.20,149484,3.4
50,Kosta,Nedeljković,2,2,0,0,5,0.02,0,4,0,121,0,0,0.00,0.02,2.23,578545,1.0
51,Robin,Olsen,2,1,0,0,9,0.00,1,6,0,225,0,1,0.00,0.00,5.50,111782,2.2
52,Pau,Torres,2,2,0,3,55,0.43,5,33,0,2019,0,23,0.51,0.94,29.69,244954,2.3
53,Jacob,Ramsey,2,3,4,3,66,2.18,5,26,1,1616,1,19,1.59,3.77,23.99,232653,2.3
54,Morgan,Rogers,2,3,11,15,161,5.24,10,40,8,3115,0,37,6.49,11.73,43.70,244850,4.4
55,Viljami,Sinisalo,2,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,248164,0.0
56,Lino,da Cruz Sousa,2,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,514315,0.0
57,Youri,Tielemans,2,3,7,15,121,5.83,7,46,3,3025,0,35,3.31,9.14,43.87,166989,3.4
58,Ollie,Watkins,2,4,8,32,186,2.07,10,40,16,2593,0,31,15.12,17.19,38.62,178301,4.9
59,Max,Aarons,3,2,0,0,8,0.01,1,0,0,84,0,1,0.00,0.01,0.28,232980,2.7
60,Tyler,Adams,4,3,3,1,58,0.76,6,30,0,1959,0,21,1.33,2.09,29.26,200785,2.1
61,Jaidon,Anthony,3,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,444180,0.0
62,David,Brooks,4,3,1,2,52,2.02,3,12,2,941,0,9,2.58,4.60,15.03,111317,1.8
63,Ryan,Christie,4,3,3,5,76,2.90,8,28,2,2114,0,27,2.14,5.04,30.17,158499,2.6
64,Lewis,Cook,4,3,4,3,82,3.76,5,44,1,2976,1,32,0.94,4.70,45.25,155408,2.3
65,Enes,Ünal,4,4,1,4,32,0.26,2,3,2,330,0,2,2.73,2.99,6.38,168636,1.9
66,Romain,Faivre,4,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,441240,0.0
67,Hamed,Traorè,4,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,424044,0.0
68,James,Hill,4,2,1,0,17,0.25,1,9,0,443,0,6,0.29,0.54,8.54,463981,1.7
69,Daniel,Jebbison,3,4,0,1,20,0.12,0,2,1,105,0,0,1.05,1.17,2.05,523700,1.2
70,Milos,Kerkez,12,2,6,10,134,2.57,9,45,2,3336,0,38,0.60,3.17,48.69,544877,3.5
71,Justin,Kluivert,4,3,6,14,158,3.66,13,29,12,2339,0,29,10.05,13.71,32.60,222683,4.6
72,Chris,Mepham,4,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,223911,0.0
73,Norberto,Murara Neto,4,1,0,0,7,0.00,0,2,0,180,0,2,0.00,0.00,2.91,69752,3.5
74,Dango,Ouattara,4,3,4,7,111,3.24,7,23,7,1998,0,21,8.42,11.66,31.96,533463,3.5
75,Alex,Paulsen,4,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,495145,0.0
76,Philip,Billing,4,3,0,0,10,0.97,0,4,0,176,0,1,0.55,1.52,3.35,168991,1.0
77,Alex,Scott,4,3,0,0,26,1.00,3,8,0,745,0,8,0.73,1.73,10.14,503139,1.3
78,Antoine,Semenyo,4,3,7,14,165,4.43,11,41,11,3202,0,36,9.51,13.94,44.18,437730,4.5
79,Marcos,Senesi Barón,4,2,0,3,31,0.48,2,17,0,1103,0,13,0.84,1.32,14.76,221466,1.8
80,Luis,Sinisterra Lucumí,4,3,1,2,23,1.29,0,4,1,229,0,1,1.18,2.47,4.08,224995,1.9
81,Adam,Smith,4,2,0,0,57,0.68,6,18,0,1586,0,19,0.65,1.33,19.04,54469,2.3
82,Dominic,Solanke-Mitchell,18,4,5,7,108,1.13,4,43,9,2199,0,25,10.89,12.02,40.14,154566,4.0
83,Marcus,Tavernier,4,3,7,4,87,3.65,4,29,3,1932,0,20,5.51,9.16,25.42,201658,3.0
84,Mark,Travers,9,1,0,1,19,0.01,1,5,0,450,0,5,0.00,0.01,7.36,229600,3.8
85,Illia,Zabarnyi,4,2,1,8,94,0.76,8,42,0,3109,1,35,1.20,1.96,42.54,477580,2.6
86,Kristoffer,Ajer,5,2,0,0,39,0.48,3,25,0,1433,0,17,0.97,1.45,21.70,191866,1.6
87,Ethan,Brierley,4,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,494041,0.0
88,Nathan,Collins,5,2,7,11,127,1.57,8,57,2,3420,0,38,2.44,4.01,56.31,432830,3.3
89,Mikkel,Damsgaard,5,3,10,10,131,7.01,11,41,2,2911,0,34,2.91,9.92,45.60,440089,3.4
90,Josh,Dasilva,4,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,183656,0.0
